Sex,Age,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
F,19,1,93,No,7,3,690
F,14,1,83,No,7,2,580
M,17,8,81,Yes,6,1,740
F,17,4,47,No,9,3,320
F,14,5,77,Yes,5,8,640
M,18,8,67,Yes,4,5,570
F,15,7,96,No,5,3,820
F,18,8,86,No,4,0,780
F,14,8,51,Yes,4,6,400
F,15,6,96,Yes,8,1,880
F,15,2,64,No,6,5,420
F,19,6,77,Yes,8,9,670
F,17,1,83,Yes,9,0,560
M,17,1,54,Yes,5,6,260
F,19,3,83,Yes,5,3,560
M,15,3,80,Yes,7,2,630
M,14,5,90,No,9,9,780
M,17,1,92,Yes,9,6,680
M,15,6,73,Yes,8,2,660
M,19,7,99,No,8,7,900
F,18,3,84,No,9,3,650
F,15,4,52,No,8,2,330
M,16,3,47,Yes,7,6,320
F,14,1,98,Yes,8,6,740
M,18,8,52,No,8,8,480
F,18,2,75,No,9,9,570
F,19,1,45,No,9,6,220
M,18,8,77,No,8,5,690
F,17,7,71,No,8,2,620
M,14,7,60,Yes,9,3,520
M,18,4,83,No,5,7,660
M,14,9,83,Yes,6,5,810
M,15,6,88,Yes,5,8,750
M,14,2,98,No,8,7,800
F,17,1,46,No,4,7,200
F,18,1,65,No,4,9,400
F,19,9,54,No,7,9,550
M,16,4,95,No,5,6,780
F,17,5,88,Yes,9,9,760
F,18,3,81,No,7,0,600
M,17,4,62,No,7,4,440
F,17,8,91,Yes,4,6,850
M,14,4,77,No,5,9,560
F,15,9,80,No,6,8,760
F,18,9,54,No,9,3,490
F,17,6,87,Yes,5,7,720
M,17,2,92,No,7,0,690
M,16,7,79,No,8,3,720
F,15,9,55,No,7,3,500
F,18,6,71,No,5,1,570
M,18,3,76,Yes,4,2,560
F,17,7,57,No,5,2,460
F,17,5,59,Yes,6,8,450
F,17,1,85,No,9,6,600
F,17,3,41,No,9,1,220
M,18,5,94,No,8,8,810
F,16,7,62,Yes,8,7,540
M,18,3,69,No,7,5,480
F,14,6,42,No,5,5,280
M,17,5,85,Yes,9,1,730
M,16,1,78,No,4,2,520
M,19,6,86,No,6,5,740
M,16,8,88,No,7,2,840
M,18,1,40,No,5,6,130
F,17,2,80,Yes,4,4,570
M,19,4,61,Yes,5,3,420
F,14,2,68,Yes,4,7,470
M,17,9,53,No,5,1,480
M,19,8,87,No,5,2,810
M,19,8,67,No,9,9,630
F,15,4,60,No,7,3,430
F,16,5,84,Yes,5,9,710
F,14,4,71,No,5,5,490
F,18,9,45,Yes,7,4,430
F,14,2,93,No,7,4,690
M,15,8,40,No,8,6,340
F,14,2,60,Yes,8,7,370
M,19,1,96,No,9,5,740
F,18,3,43,Yes,7,2,210
F,19,9,42,Yes,6,3,380
F,18,3,88,No,9,0,670
F,18,9,69,Yes,4,4,640
F,17,7,70,Yes,7,9,610
F,19,1,73,No,8,7,460
M,19,5,58,Yes,5,2,410
M,17,9,59,Yes,7,9,580
F,18,3,62,No,7,3,400
F,17,9,93,Yes,8,3,920
M,16,5,98,No,8,5,860
F,16,9,79,Yes,6,8,770
F,14,6,64,No,9,9,520
M,15,9,54,No,8,2,470
F,18,7,77,No,8,3,700
F,17,7,62,No,8,5,570
F,19,8,91,No,9,5,900
M,18,7,41,Yes,5,6,320
F,17,9,96,No,7,0,930
M,17,9,96,No,7,8,940
M,19,6,54,Yes,8,1,420
M,14,7,91,No,9,3,820
M,15,2,83,Yes,6,2,580
F,16,9,74,Yes,8,2,680
M,19,1,49,No,9,4,250
M,16,1,53,Yes,9,6,300
M,18,3,66,Yes,6,6,460
F,19,6,93,Yes,9,6,860
F,19,5,53,No,7,2,420
F,18,2,74,Yes,6,8,490
F,17,9,72,No,6,5,700
F,17,4,91,No,4,9,740
F,18,4,40,Yes,6,7,260
F,16,5,73,No,6,0,560
F,17,8,58,Yes,5,3,540
M,16,4,63,Yes,7,6,480
M,17,5,81,No,8,8,700
F,14,4,43,No,4,2,220
M,17,6,75,No,6,5,620
F,14,3,52,Yes,5,7,330
M,14,8,97,Yes,5,2,930
M,18,6,71,Yes,9,5,620
F,19,5,48,No,8,8,310
M,15,2,78,Yes,8,8,600
F,15,7,55,Yes,7,5,500
M,16,2,89,Yes,9,4,670
F,16,1,42,Yes,6,0,170
F,15,7,91,No,5,2,820
F,14,5,59,Yes,4,2,410
M,19,1,49,No,7,3,240
M,19,4,95,Yes,6,4,780
F,17,4,97,Yes,9,7,800
M,15,7,97,Yes,8,8,930
F,15,9,61,No,9,6,640
F,17,2,87,No,6,9,600
M,14,1,42,No,9,5,180
M,15,2,50,Yes,8,2,280
F,15,7,64,Yes,6,8,540
F,14,6,81,No,4,9,710
M,16,4,87,Yes,7,0,680
M,19,1,47,Yes,9,8,230
M,19,1,48,No,8,2,200
F,14,5,54,Yes,4,8,370
M,17,1,71,Yes,5,9,470
F,16,7,92,Yes,4,0,810
F,19,1,42,No,4,7,180
F,16,1,43,Yes,4,5,160
M,19,2,69,No,8,8,490
M,14,3,52,Yes,5,3,330
M,19,1,83,No,7,4,600
M,15,9,60,No,4,5,550
M,17,8,80,No,8,8,750
M,17,5,96,No,8,5,810
M,16,2,85,Yes,7,8,640
F,17,5,58,No,6,1,410
M,19,6,78,Yes,5,3,680
F,16,1,87,Yes,5,2,590
M,17,4,61,No,9,3,440
F,19,9,59,Yes,4,0,550
F,18,2,76,Yes,6,1,540
M,15,5,70,Yes,5,3,530
M,14,1,49,Yes,9,9,240
M,15,4,57,No,4,3,370
M,14,4,82,Yes,6,4,650
M,18,6,78,Yes,8,8,690
M,17,9,85,Yes,4,0,820
M,17,3,59,Yes,6,7,390
F,17,9,57,Yes,7,2,540
M,15,6,50,No,5,8,360
F,17,7,61,Yes,4,7,550
M,19,2,98,No,9,7,780
F,18,6,83,Yes,8,8,730
F,19,6,57,No,9,3,490
M,17,2,97,Yes,4,4,740
F,19,2,73,Yes,5,6,510
M,15,2,62,No,5,1,370
M,15,1,40,No,6,6,160
M,15,5,94,No,9,2,840
F,17,8,49,Yes,9,5,470
M,14,2,92,No,8,5,700
M,15,5,40,No,6,5,280
F,15,8,77,No,8,9,720
M,15,5,78,Yes,4,1,600
F,18,2,88,Yes,4,8,670
M,15,3,48,Yes,9,7,330
F,15,6,70,No,6,6,580
M,15,5,46,Yes,7,8,360
F,14,4,56,Yes,5,3,350
M,18,4,74,Yes,6,1,560
F,19,5,87,Yes,6,3,710
F,18,2,76,No,4,9,510
F,15,9,91,Yes,5,2,880
M,16,2,57,No,6,1,360
F,15,2,72,No,4,1,500
M,15,9,43,No,4,7,420
F,15,3,62,No,9,4,440
F,16,7,50,No,9,5,420
F,18,4,91,No,6,7,750
M,14,6,48,Yes,6,6,340
F,15,4,69,No,4,6,540
F,18,7,47,Yes,9,6,360
M,19,1,79,No,6,6,530
F,18,3,44,Yes,5,7,240
M,16,3,51,No,4,0,300
M,15,1,40,Yes,4,2,130
M,15,6,54,Yes,6,0,430
M,14,9,64,No,6,7,560
M,14,8,57,No,6,1,500
F,17,7,77,No,5,6,670
F,14,8,81,No,4,5,740
M,16,6,85,Yes,7,0,730
M,15,9,92,Yes,5,5,900
F,15,3,65,No,5,8,420
M,17,9,79,No,9,2,770
F,17,4,98,Yes,4,6,840
M,19,7,42,No,7,3,370
M,15,9,93,Yes,4,0,910
M,18,2,61,No,5,6,340
F,17,2,65,No,6,0,400
M,14,9,58,Yes,4,3,530
F,15,3,83,Yes,4,8,630
F,16,9,83,No,6,4,820
M,14,5,86,Yes,7,6,730
M,18,6,99,No,7,6,860
M,14,2,78,Yes,4,2,560
F,15,8,98,No,6,7,940
F,17,9,75,No,9,0,740
M,14,2,60,No,4,3,370
F,19,6,80,Yes,6,9,690
F,14,6,93,Yes,5,3,790
M,15,8,87,Yes,9,1,830
M,16,5,65,Yes,6,5,500
M,14,9,52,No,4,0,470
M,17,1,75,Yes,8,2,530
M,16,9,63,Yes,7,8,620
M,14,7,80,Yes,4,9,750
M,14,4,65,No,6,5,480
F,19,3,60,Yes,9,1,400
M,16,6,57,Yes,9,8,450
M,18,1,54,No,6,1,270
F,19,3,54,No,7,6,320
M,18,2,45,No,4,0,200
M,14,9,82,No,9,4,800
M,15,3,70,No,9,6,510
M,19,2,67,No,8,2,440
M,14,4,47,No,5,3,290
M,15,2,68,Yes,8,4,460
M,19,1,60,No,5,2,370
M,17,6,56,No,9,5,440
M,15,8,95,No,5,2,900
F,17,2,96,No,4,7,750
M,15,9,88,No,9,6,840
M,14,3,63,Yes,9,0,440
F,14,8,97,Yes,5,1,910
F,18,8,99,Yes,6,3,940
M,19,3,89,Yes,5,4,690
M,15,3,75,Yes,5,9,570
F,16,6,70,Yes,7,3,550
M,14,1,86,Yes,7,3,610
F,17,4,73,No,4,8,540
F,18,1,41,No,4,3,120
F,17,3,81,No,6,3,620
M,19,9,42,No,7,3,400
F,18,5,69,No,8,1,570
M,18,5,47,No,4,7,330
M,18,4,91,Yes,4,3,710
F,19,3,46,No,7,4,260
M,19,5,51,No,7,7,390
F,14,4,97,No,6,3,740
F,16,8,58,Yes,7,4,560
F,18,4,65,Yes,5,4,450
M,14,8,67,Yes,9,5,610
M,19,6,54,No,8,6,450
F,18,5,53,No,9,2,430
M,14,4,87,No,5,9,680
F,18,4,98,Yes,5,2,790
M,19,4,53,Yes,9,8,400
M,18,9,42,No,5,0,370
F,18,4,89,Yes,4,9,720
M,15,9,68,No,9,7,670
F,16,6,99,Yes,5,9,930
M,15,7,93,Yes,4,2,850
F,16,3,45,Yes,7,4,260
M,15,8,88,No,8,2,840
F,14,3,62,Yes,8,9,450
F,19,1,67,No,5,0,410
F,16,5,53,No,8,9,390
F,18,2,53,No,4,4,280
M,16,6,59,Yes,7,7,480
F,19,9,52,Yes,5,4,460
M,14,1,66,Yes,6,3,380
F,16,4,99,No,9,8,870
F,18,1,74,Yes,8,0,500
F,19,1,84,Yes,8,4,630
F,17,8,95,No,5,0,890
M,18,2,41,No,9,5,190
F,14,1,80,No,9,9,560
F,16,8,84,Yes,8,8,820
M,16,4,79,Yes,8,1,600
F,17,3,87,No,6,3,670
M,14,4,63,Yes,9,7,500
M,15,5,68,No,4,2,520
M,17,1,42,Yes,5,6,170
F,19,1,84,No,5,6,610
M,16,3,43,Yes,6,1,220
M,14,6,89,No,6,9,790
M,15,1,41,No,4,3,150
M,19,2,59,No,7,0,340
F,19,7,93,Yes,5,7,830
F,15,1,92,Yes,9,9,710
M,15,7,54,Yes,8,9,470
F,19,4,88,No,4,8,700
F,15,6,71,No,5,0,580
M,16,8,81,No,9,6,740
M,17,9,40,No,4,0,340
F,14,6,77,No,7,0,660
F,17,9,74,No,9,8,730
F,18,4,90,No,5,9,720
M,18,6,46,No,8,9,340
F,17,8,84,No,9,5,800
F,15,9,52,Yes,5,0,490
F,18,3,88,No,4,6,690
F,18,2,40,Yes,7,2,160
F,18,6,53,No,9,9,460
F,18,4,68,Yes,4,3,500
F,15,1,97,No,4,3,670
F,19,8,42,Yes,6,7,370
M,19,9,85,No,4,0,780
F,17,9,63,No,9,7,620
F,16,2,40,No,7,8,180
M,16,9,87,Yes,8,6,830
F,19,7,49,No,6,0,420
F,15,5,52,Yes,4,6,360
F,15,7,75,Yes,9,5,640
M,17,9,48,Yes,5,4,470
F,15,8,53,Yes,6,4,480
F,15,6,75,Yes,7,0,630
M,17,4,49,No,5,5,310
F,15,1,79,Yes,7,3,540
F,15,6,62,Yes,5,0,460
F,14,3,74,Yes,8,7,530
M,17,6,94,Yes,7,7,860
F,17,6,46,No,5,3,340
M,16,4,81,No,7,6,660
F,18,2,74,No,6,2,530
F,15,9,41,Yes,7,7,320
F,17,2,54,Yes,9,6,320
M,19,3,48,Yes,7,4,260
F,15,1,86,No,5,4,590
F,15,7,56,Yes,7,8,450
M,14,1,78,No,8,5,540
F,16,9,91,Yes,4,5,890
F,18,1,57,Yes,6,1,350
F,17,5,54,No,9,4,400
M,15,7,57,Yes,5,3,490
M,15,3,63,No,7,9,460
F,19,9,62,Yes,7,2,630
F,14,8,51,No,7,8,430
F,14,3,62,Yes,6,6,440
F,16,5,60,Yes,9,3,480
M,17,7,65,Yes,4,8,530
F,18,4,47,Yes,8,8,320
F,16,5,69,Yes,9,6,580
M,14,3,73,No,8,4,500
F,16,9,41,No,9,8,390
M,14,9,44,Yes,5,6,410
F,19,7,70,No,4,8,610
M,17,2,72,No,4,2,490
F,16,7,93,No,6,8,840
F,17,7,43,No,9,0,320
M,18,5,45,Yes,7,4,320
F,16,9,62,No,4,1,600
F,14,3,84,No,9,0,670
M,17,4,58,Yes,7,2,460
F,14,1,82,Yes,6,6,560
F,17,6,84,Yes,9,2,740
F,18,4,47,Yes,9,9,280
F,19,1,78,Yes,5,9,520
M,14,2,52,Yes,9,8,280
M,18,3,40,Yes,5,2,180
F,16,9,45,Yes,7,5,450
M,14,8,46,No,7,1,410
F,17,7,87,Yes,4,7,780
M,14,4,66,No,6,9,480
F,15,1,54,Yes,5,4,260
F,14,8,91,Yes,4,1,860
M,19,4,73,No,8,6,560
F,18,3,97,Yes,4,2,770
M,19,9,96,Yes,7,4,950
M,19,4,62,No,8,8,470
F,16,4,87,No,4,0,620
M,18,9,88,No,9,1,870
M,16,2,63,No,6,4,400
F,18,5,54,No,5,3,350
F,17,4,74,No,9,0,600
F,19,9,43,Yes,8,6,410
F,16,5,83,Yes,6,8,670
F,17,9,76,Yes,4,0,700
F,19,9,56,Yes,9,7,550
M,17,2,70,Yes,7,8,540
F,15,9,77,No,7,1,720
F,16,3,49,No,6,0,260
F,19,4,93,Yes,7,5,770
F,17,1,89,No,5,6,670
M,18,1,66,Yes,6,1,390
M,17,1,81,No,6,4,540
M,14,9,45,Yes,7,4,430
M,15,8,95,Yes,6,6,890
F,17,5,45,Yes,4,0,280
F,18,5,91,No,8,9,800
M,19,9,54,No,9,7,510
F,15,3,43,Yes,8,4,230
F,19,3,96,No,9,2,790
F,17,7,87,Yes,7,8,770
M,14,9,93,Yes,5,2,890
M,14,6,95,No,5,6,800
M,19,2,79,Yes,7,9,570
M,18,1,46,Yes,7,6,200
M,19,2,90,Yes,6,9,680
M,17,1,97,No,5,7,710
M,17,9,88,Yes,8,9,880
M,18,8,92,Yes,7,7,850
M,18,7,84,Yes,8,3,770
M,14,3,86,Yes,9,0,660
F,14,8,65,No,8,3,610
M,16,2,97,Yes,5,5,740
F,16,2,70,Yes,9,9,480
M,19,3,41,No,8,5,180
M,14,7,67,No,6,5,590
M,18,1,81,No,6,6,550
F,14,8,52,No,5,0,470
M,15,7,57,No,6,9,520
F,17,4,69,No,7,0,500
M,16,5,94,Yes,9,6,770
F,14,1,50,Yes,5,3,250
M,16,4,52,No,9,5,350
F,19,1,90,Yes,8,5,650
F,18,1,63,No,7,8,400
M,17,1,96,Yes,5,1,700
M,19,7,68,No,8,3,610
M,18,7,95,No,8,3,890
F,14,4,93,Yes,8,6,770
M,15,2,44,No,8,0,220
F,15,3,74,Yes,8,4,550
M,14,8,58,No,5,3,520
F,15,8,94,No,6,1,880
M,15,6,52,Yes,8,4,440
F,14,9,44,No,7,8,390
M,17,9,83,Yes,5,7,800
M,19,4,53,Yes,4,8,350
F,14,1,77,Yes,6,6,520
F,14,1,61,Yes,7,9,340
M,16,5,48,Yes,8,6,330
F,16,2,88,No,5,1,640
F,14,6,79,No,5,2,650
F,14,7,65,Yes,8,9,550
F,16,1,84,No,7,7,580
M,17,6,44,Yes,5,1,290
M,16,8,68,No,9,6,650
F,16,5,93,Yes,6,5,800
M,19,7,61,No,7,9,550
M,17,6,88,Yes,8,3,780
F,19,4,42,No,7,3,220
M,17,7,67,Yes,9,2,530
M,18,9,77,Yes,7,5,770
F,19,7,53,No,4,2,410
M,14,5,86,Yes,8,8,690
M,15,7,53,Yes,6,3,470
F,15,3,82,No,8,3,640
M,15,2,50,No,4,1,280
M,17,5,48,Yes,8,1,350
M,17,4,77,Yes,8,6,630
M,19,5,86,Yes,6,4,710
F,15,8,83,Yes,4,2,780
M,17,4,45,No,8,5,320
M,18,9,40,Yes,9,5,400
M,17,7,64,Yes,8,0,550
F,15,7,55,No,5,2,420
F,19,8,91,No,8,4,880
F,17,6,54,Yes,6,6,430
F,15,8,73,No,5,3,660
F,16,3,56,No,9,7,330
M,18,1,42,No,9,2,120
M,16,6,42,Yes,9,5,320
F,18,1,76,Yes,4,5,480
F,17,9,56,Yes,9,8,560
F,18,2,94,No,7,3,730
M,17,2,88,Yes,6,6,650
M,19,7,91,Yes,4,9,830
F,14,2,77,Yes,5,0,530
M,15,8,40,No,7,0,390
F,15,6,46,Yes,4,1,320
M,17,7,65,Yes,6,3,550
M,14,7,86,Yes,5,5,760
F,16,6,78,Yes,6,3,690
F,16,9,58,No,6,5,540
M,16,9,91,Yes,5,1,890
F,14,7,93,Yes,9,8,870
F,16,9,69,No,8,2,660
M,16,3,82,No,6,6,650
F,15,3,94,No,9,0,710
M,18,1,53,No,5,7,270
M,14,5,52,No,6,3,380
F,15,4,59,Yes,8,4,430
F,14,2,65,No,5,6,380
F,18,9,66,No,4,2,590
M,14,3,64,No,4,8,440
M,18,8,48,Yes,9,8,390
F,19,6,80,Yes,4,7,670
M,19,5,87,Yes,7,0,700
M,17,1,51,No,6,1,240
M,16,4,49,Yes,6,1,310
M,17,3,45,No,5,2,240
F,16,1,89,No,7,1,610
F,16,5,73,Yes,6,0,590
M,16,6,98,Yes,5,4,870
M,17,2,91,Yes,8,5,680
F,18,3,80,No,6,6,620
F,19,6,58,Yes,9,9,500
F,16,4,45,Yes,6,6,270
M,19,9,41,Yes,8,1,360
M,17,5,54,Yes,8,6,430
M,19,4,56,Yes,6,1,350
M,18,2,55,No,8,1,290
F,14,6,67,No,5,5,560
M,14,2,60,Yes,6,5,410
F,19,7,47,No,6,7,370
M,14,3,49,No,4,4,260
M,14,9,49,No,9,4,460
M,16,5,89,Yes,6,9,750
M,16,8,49,No,4,0,400
F,16,6,48,Yes,8,3,360
F,19,8,67,No,9,0,620
F,16,3,63,Yes,9,9,470
F,18,3,58,No,8,4,390
M,14,5,72,No,5,7,570
M,19,3,43,Yes,4,0,200
F,14,8,95,Yes,6,2,870
F,17,8,42,No,4,0,310
F,16,2,81,Yes,8,5,570
M,19,4,51,Yes,8,9,370
M,19,1,57,Yes,5,0,290
M,17,4,62,Yes,9,9,480
M,15,4,59,No,9,2,410
M,17,9,45,Yes,8,4,430
F,17,3,92,No,4,4,700
M,14,2,73,No,9,1,540
F,19,9,81,Yes,6,2,770
M,14,9,41,Yes,6,8,400
F,19,1,69,Yes,4,0,390
F,15,6,48,Yes,5,0,380
F,17,8,66,No,6,1,610
F,17,3,81,No,4,7,590
M,17,9,73,Yes,4,5,680
F,16,2,79,No,8,3,590
M,17,6,63,Yes,9,6,550
M,15,1,88,No,8,5,630
F,16,7,56,No,9,8,470
F,19,3,68,No,5,5,490
M,14,7,75,Yes,5,1,640
F,19,4,89,Yes,5,2,720
F,17,9,51,No,4,8,460
M,15,5,70,Yes,4,6,550
M,15,3,88,Yes,8,5,730
M,15,8,48,No,6,4,410
F,18,6,58,Yes,9,2,500
F,16,2,85,Yes,9,3,610
F,14,3,85,No,5,0,600
F,18,8,56,No,9,4,520
F,17,7,41,No,7,6,310
F,16,6,79,No,5,1,660
M,17,1,44,Yes,9,7,160
F,17,9,98,Yes,8,9,930
M,18,3,78,No,9,5,590
M,17,5,93,No,4,9,780
M,16,7,87,Yes,8,2,790
M,18,7,55,Yes,8,1,500
M,17,3,56,Yes,8,7,380
M,19,4,93,No,7,3,800
F,19,7,66,No,7,6,580
M,14,8,46,No,9,6,440
F,15,2,91,No,5,9,700
F,19,9,47,Yes,9,8,450
M,19,7,47,No,9,9,400
F,14,8,62,No,9,7,570
M,19,6,71,Yes,4,7,610
M,19,6,82,No,8,6,720
F,14,9,86,Yes,6,9,830
M,15,4,57,No,5,4,360
F,14,5,77,Yes,5,8,610
M,16,9,93,Yes,8,6,900
M,18,1,51,Yes,5,2,220
F,18,4,54,No,8,5,350
M,17,7,67,No,5,2,590
F,16,9,94,No,9,5,890
F,17,6,77,No,4,7,660
F,14,8,89,No,5,8,880
F,19,9,95,No,5,1,910
F,14,4,70,Yes,6,5,530
M,18,1,91,No,4,2,640
M,14,8,48,No,9,6,400
F,18,2,47,Yes,4,3,240
F,16,1,85,Yes,4,4,590
M,15,7,58,No,5,9,490
M,18,9,90,Yes,7,5,850
M,16,9,47,No,5,7,470
F,15,3,73,Yes,8,1,540
M,17,6,96,No,6,3,820
M,18,7,43,Yes,4,3,310
F,19,9,70,Yes,8,5,670
F,16,2,77,No,9,3,580
F,16,8,42,No,8,4,360
F,17,7,74,Yes,7,4,660
F,17,4,58,Yes,4,7,390
M,19,2,82,Yes,5,3,610
F,14,8,68,Yes,4,5,640
F,16,5,49,No,6,6,310
M,19,6,51,Yes,4,7,390
M,18,7,85,Yes,8,8,780
F,19,1,69,No,8,9,430
F,19,8,69,No,5,7,620
M,19,4,99,No,5,3,800
M,19,9,57,No,5,3,510
F,17,1,63,No,9,9,400
M,18,2,71,No,6,4,480
M,17,6,48,Yes,9,2,380
F,18,1,86,Yes,9,1,610
F,19,4,63,Yes,9,1,420
M,19,8,65,No,4,8,570
F,14,5,42,No,7,7,260
F,19,9,62,Yes,4,5,580
M,19,6,50,Yes,5,8,400
F,16,1,49,No,6,4,260
M,17,6,89,No,9,9,780
M,18,6,75,Yes,4,0,620
F,14,6,99,Yes,8,7,900
M,15,8,52,Yes,9,2,500
F,16,6,68,Yes,4,8,570
F,16,5,77,Yes,8,0,620
M,18,2,98,No,4,2,740
M,18,4,92,Yes,4,0,740
M,16,5,52,Yes,9,0,400
F,15,4,96,No,4,5,810
F,18,2,65,Yes,5,3,450
F,17,7,59,No,8,9,500
F,16,2,44,No,6,3,170
F,16,1,59,Yes,7,4,310
M,18,5,53,Yes,9,2,400
F,14,1,84,No,8,1,610
M,18,1,53,No,5,9,260
M,18,1,47,No,8,7,200
M,14,6,87,Yes,6,6,730
F,19,9,52,Yes,9,9,550
M,16,1,63,Yes,8,3,370
M,17,5,54,Yes,5,1,350
M,15,9,90,Yes,9,8,900
F,19,9,40,No,5,7,360
F,16,1,61,Yes,9,3,380
F,17,8,73,Yes,7,4,650
M,18,1,89,No,6,9,660
M,18,8,90,Yes,7,5,880
M,17,1,79,Yes,4,3,530
F,18,5,42,Yes,5,1,270
F,14,8,94,No,7,4,900
F,18,6,65,No,5,0,500
M,19,9,53,Yes,9,6,490
F,14,1,97,Yes,5,8,710
F,17,9,80,Yes,4,2,720
M,19,1,47,No,5,5,210
F,14,3,88,No,9,8,730
F,14,1,94,Yes,9,3,680
F,16,3,94,Yes,7,5,740
F,14,2,95,Yes,6,2,720
F,16,2,55,Yes,8,8,380
F,18,9,81,No,7,6,780
F,15,8,60,No,4,6,550
F,14,1,49,Yes,8,3,240
F,19,4,96,No,5,5,720
F,16,1,64,No,7,7,380
F,16,1,95,Yes,8,5,730
F,15,4,77,Yes,7,5,600
F,17,2,61,Yes,5,3,380
F,14,3,88,Yes,9,7,740
F,16,9,87,No,7,9,860
F,14,2,86,Yes,4,7,620
F,15,4,93,Yes,8,8,800
M,16,1,85,Yes,8,5,620
F,18,2,43,Yes,8,1,220
F,14,5,43,No,7,3,280
F,18,1,69,Yes,5,3,410
F,15,7,41,Yes,7,7,340
F,15,4,68,No,7,4,520
M,17,6,82,Yes,9,3,710
F,18,8,75,Yes,8,7,680
F,14,6,60,Yes,5,2,470
F,16,2,99,No,6,1,730
F,19,1,60,Yes,5,3,330
M,15,8,87,Yes,7,0,830
M,18,8,60,Yes,4,0,480
M,17,9,43,No,5,4,390
F,15,6,40,Yes,8,0,290
F,16,1,65,Yes,4,3,360
F,19,9,95,Yes,6,7,940
M,19,3,90,No,6,7,730
F,19,6,41,No,4,1,280
F,19,9,48,Yes,6,2,490
M,19,3,94,Yes,4,2,730
M,14,5,96,No,7,0,830
M,18,5,84,Yes,4,2,730
F,16,7,57,No,7,7,500
M,14,4,87,No,8,5,740
F,14,4,87,No,8,4,710
F,16,7,96,Yes,6,9,920
M,15,9,81,No,9,8,780
M,18,4,80,No,9,6,640
F,15,4,50,Yes,4,5,370
F,15,6,64,Yes,7,4,490
F,17,6,65,Yes,8,4,530
F,19,7,97,No,8,9,950
M,17,1,75,No,8,8,500
M,14,3,81,Yes,6,9,620
M,14,9,74,No,8,5,740
M,17,6,77,Yes,9,3,700
M,19,6,42,Yes,5,3,290
F,17,5,98,Yes,6,3,810
M,15,3,80,Yes,4,5,580
M,18,5,74,Yes,5,0,570
F,17,1,89,No,6,8,610
F,17,3,79,No,6,1,560
M,18,4,61,Yes,7,1,440
F,17,5,47,No,5,4,300
M,17,9,54,No,5,3,530
M,19,4,84,Yes,9,2,670
M,19,3,46,No,5,4,210
M,15,1,58,No,8,6,350
F,15,6,79,Yes,9,9,770
F,16,7,81,No,8,1,720
F,18,8,56,No,9,5,520
M,18,1,40,No,4,3,150
M,14,4,84,No,9,1,670
F,19,5,68,No,4,0,550
M,14,2,97,Yes,9,7,730
F,15,1,52,Yes,4,4,250
F,16,8,95,Yes,8,9,900
M,14,6,87,Yes,9,1,740
M,18,5,68,Yes,7,7,530
M,17,9,80,No,9,2,790
M,19,2,81,No,4,6,590
M,14,8,45,Yes,6,1,400
F,16,9,44,Yes,8,6,390
M,19,1,73,Yes,7,3,490
M,18,7,50,No,6,9,410
M,17,8,48,No,6,0,390
M,15,3,77,No,8,4,570
M,15,4,79,No,9,3,660
F,19,3,80,No,5,7,590
F,16,7,48,No,7,0,400
F,16,9,47,Yes,9,1,470
M,14,3,83,No,8,4,650
F,19,6,97,Yes,5,9,860
M,16,8,79,Yes,8,9,750
F,14,6,42,No,8,1,300
F,15,2,52,No,6,0,260
F,16,7,58,No,9,5,490
M,14,2,73,No,8,9,520
F,15,2,71,No,9,3,470
M,16,2,88,No,5,4,640
M,15,1,55,No,6,2,280
M,17,1,75,No,5,9,480
M,17,7,57,Yes,5,5,470
M,19,5,53,Yes,6,3,370
M,17,3,69,No,9,5,540
M,16,1,41,Yes,5,4,180
F,19,6,52,No,4,1,370
M,15,1,66,Yes,9,3,410
M,19,9,98,Yes,8,1,960
F,16,2,92,No,6,4,690
M,17,1,91,No,6,2,640
F,17,7,56,No,9,5,480
F,16,6,70,Yes,4,4,590
M,15,6,54,Yes,4,1,390
M,16,5,96,No,4,9,800
F,16,4,59,Yes,4,7,380
M,16,4,44,No,7,5,260
F,15,3,46,Yes,6,8,270
M,16,8,57,No,5,2,500
M,18,7,95,Yes,6,3,890
M,15,9,50,No,6,7,450
F,15,1,71,No,6,6,420
M,14,7,89,No,4,7,800
F,16,4,66,Yes,4,8,480
F,19,7,65,No,7,7,590
M,17,1,76,Yes,9,7,530
F,16,5,84,No,6,5,720
M,15,3,67,No,8,1,460
M,19,5,89,No,9,6,750
M,18,4,41,Yes,7,3,250
M,17,2,59,Yes,4,2,360
M,15,4,43,Yes,6,3,240
F,18,3,52,No,4,3,310
F,17,1,63,Yes,9,2,390
M,18,8,87,No,5,8,810
F,14,5,77,No,4,2,630
F,17,4,97,No,4,1,810
F,19,5,79,No,7,0,630
M,14,4,87,No,5,0,690
M,19,3,84,Yes,9,4,660
F,18,5,94,Yes,8,4,800
F,18,4,68,No,8,8,520
M,19,1,97,No,8,3,680
F,18,3,75,Yes,6,4,570
M,15,8,41,No,8,5,370
M,19,7,80,No,6,9,680
M,15,2,57,No,9,6,350
F,14,1,88,No,9,8,650
F,15,3,47,Yes,4,5,280
F,15,5,97,No,8,0,820
F,18,1,54,Yes,7,7,290
M,16,3,80,Yes,9,1,620
M,16,3,56,Yes,5,8,350
F,18,5,62,Yes,5,6,510
